inchi_key,smiles,homo (eV),lumo (eV),vertical_excitation_energy (eV),redox_potential_S0 (eV),redox_potential_S1 (eV),redox_potential_T1 (eV),dipole_moment_S0 (D),dipole_moment_S1 (D),dipole_moment_T1 (D),0-0_S1 (eV),0-0_T1 (eV),ionization_potential (eV)
GGUGKNPDOAKCQY-WCWDXBQESA-N,SC1=CC=C(C1)c1ccc(cc1)/N=N/c1ccc(cc1)C1=CC=C(C1)S,-5.413977,-2.652566,,0.61,,-0.49,0.00033,,0.01239,,1.1,6.21
GHCNKNMNVGTNLK-UHFFFAOYSA-N,Sc1nnc(nn1)c1cc2c3cc(c4nnc(nn4)S)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)S)cc(c5ccc4)c1nnc(nn1)S,-5.828679,-3.215841,,,,,2.19626,,,,,
GHFFCGTZPLPHSV-UHFFFAOYSA-N,Fc1ccc2c(c1)c1ccc3c4c1c1c2c2ccc(cc2c2c1c1c4c(c4c3cc(F)cc4)c3c(c1c1c2cccc1)cc(cc3)F)F,-5.830039,-2.200313,,,,,0.90226,,,,,
GHZWNZSOIIVSLN-XHVJHNBZSA-N,F/C=C\c1ccc(o1)/N=N/c1ccc(o1)/C=C/F,-5.793848,-2.879509,,0.83,,0.09,0,,0,,0.74,6.79
GIBJIQZGCBPCJG-UHFFFAOYSA-N,FC(Oc1ncc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1cnc([nH]1)OC(F)(F)F)(F)F,,,,,,,,,,,,
GIQJYSRFZXGZLC-FMQUCBEESA-N,c1ccc([nH]1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc[nH]1,-5.280641,-2.693927,,0.37,,-0.33,2.20734,,3.81453,,0.7,6.03
GITNVYYXTJUEOW-UHFFFAOYSA-N,Oc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)O,-5.399011,-2.427256,1.91,,,,3.1855,3.1855,,2.04,,6.08
GIVSKCIJIYJETF-UHFFFAOYSA-N,Clc1cnc(nc1)[C@]1(Cl)N=N1,-7.759871,-2.677872,2.95,2.85,-0.22,0.11,3.51621,3.51621,6.81921,3.07,2.74,9.16
GIVYAYFLIOTMCD-UHFFFAOYSA-N,Sc1coc(n1)c1cc2c3cc(c4occ(n4)S)c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)S)cc(c5ccc4)c1occ(n1)S,-5.653709,-3.013389,,,,,4.96788,,,,,
GJMDKDVQARDKJP-NORIJPHCSA-N,Cl/N=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=N/Cl,-7.687761,-3.414485,2.73,,,,7.32493,7.32493,6.19361,2.84,2.7,8.84
GKAKLFOOVWEYCU-UHFFFAOYSA-N,FC(c1cc2c3cc(c4c5c3c(c3c2c2c1cccc2c(c3)C(F)(F)F)cc(c5ccc4)C(F)(F)F)C(F)(F)F)(F)F,-6.179706,-3.072437,2.12,,,,0.00197,0.00197,0.00045,2.2,1.3,
GKFRQVGBQVWRIR-UHFFFAOYSA-N,SC1=CC=C(C1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C1=CC=C(C1)S,-5.236287,-2.412561,,,,,2.60589,,,,,5.89
GKOPULUCZJLFOP-UHFFFAOYSA-N,FC(c1ncc([nH]1)[C@@]1(N=N1)C(F)(F)F)(F)F,-7.465171,-2.854202,2.51,2.56,-0.15,0.13,3.11914,3.11914,4.79958,2.71,2.43,9.14
GKVDXUXIAHWQIK-UHFFFAOYSA-N,N1=NC1,-8.165865,-1.967927,3.51,3.38,-0.15,0.37,2.2142,2.2142,3.3892,3.53,3.01,10.57
GLBUBHPKPUMVMX-UHFFFAOYSA-N,Clc1ccc(s1)c1cc2c3cc(c4ccc(s4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(s1)Cl)cc(c5ccc4)c1ccc(s1)Cl,-5.441189,-2.663178,,,,,0.0001,,,,,
GLFOEKRLPHJKGP-IHXWQEJPSA-N,C/N=C/c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=N/C,-5.519013,-2.641953,1.89,0.72,-1.26,-0.45,1.5957,1.5957,1.3697,1.98,1.17,6.34
GLUSHKNJCIRLDE-UHFFFAOYSA-N,COc1coc(n1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1occ(n1)OC,-6.449098,-3.289312,2.08,1.8,-0.36,-0.17,0.67012,0.67012,5.2178,2.16,1.97,7.34
GLVZWPFDCJINMM-UHFFFAOYSA-N,FC(Oc1nnc(nn1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1nnc(nn1)OC(F)(F)F)(F)F,-7.616195,-3.60442,1.79,2.63,0.77,1.21,3.32143,3.32143,3.47761,1.86,1.42,8.59
GLWBKRGJMILFIA-UHFFFAOYSA-N,Cn1c(ccc1C(F)(F)F)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(n1C)C(F)(F)F,-5.525816,-2.509434,,,,,7.3421,,,,,
GMTCRTFSEOXKQA-UHFFFAOYSA-N,Fc1cnc(s1)[C@]1(F)N=N1,-7.364489,-2.745629,2.46,2.4,-0.29,0.01,2.417,2.417,8.80567,2.69,2.39,9
GMUNELMZIPFMDG-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc(o1)S)c1ccc(o1)S,-6.350049,-3.162507,1.79,1.19,-0.76,-0.57,1.2243,1.2243,7.8993,1.95,1.76,7
GMYOHAMWFBJRCN-IAZLARGGSA-N,FC(/C=C/O/C=C\c1cc2c3cc(/C=C\O/C=C/C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)/C=C\O/C=C/C(F)(F)F)cc(c5ccc4)/C=C\O/C=C/C(F)(F)F)(F)F,,,,,,,,,,,,
GORDDDHBMHEVSP-WCWDXBQESA-N,Clc1cnc(s1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ncc(s1)Cl,-6.416172,-3.024545,,1.63,,0.58,0.0043,,2.8531,,1.05,7.24
GORPVCDQCLQTHL-MNSGOHHFSA-N,N=Cc1ccc(cc1)/N=N/c1ccc(cc1)C=N,-6.985435,-3.041417,,1.87,,0.79,0,,1.7469,,1.08,7.94
GPGFUTQRPIRKTC-DQRAZIAOSA-N,c1ccc(cc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccccc1,,,,,,,,,,,,
GPLISXJFICIEKA-UHFFFAOYSA-N,Oc1ccc(o1)c1cc2c3cc(c4ccc(o4)O)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(o1)O)cc(c5ccc4)c1ccc(o1)O,-5.122815,-2.511611,,,,,1.2683,,,,,
GPNNWSBNBWGYIY-ISLYRVAYSA-N,O=S1(=O)C(=CC=C1[N+](=O)[O-])c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)[N+](=O)[O-],-6.608557,-4.493688,,1.57,,1.21,19.42958,,21.13896,,0.36,7.72
GQGDKYRZXHHXRV-UHFFFAOYSA-N,Sc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)S)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)S)cc(c5ccc4)c1cnc([nH]1)S,-5.390031,-2.60032,,,,,2.93902,,,,,
GQRCYGIZBXPLRU-VXPUYCOJSA-N,O=Cn1c(S)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)S,,,,,,,,,,,,
GQSXUHRCHGRIGH-QURGRASLSA-N,c1cnc(nc1)c1ccc(o1)/N=N/c1ccc(o1)c1ncccn1,-6.207733,-3.14618,,1.25,,0.35,0.00022,,0.00014,,0.9,6.86
GQSYPWODQFRQIJ-DQSJHHFOSA-N,FC(c1ncc([nH]1)c1ccc(s1)/N=N\c1ccc(s1)c1cnc([nH]1)C(F)(F)F)(F)F,-6.004464,-3.081417,,0.99,,0.8,4.5365,,3.278,,0.19,6.97
GRMRSBIDWAEKQI-UHFFFAOYSA-N,[O-][N+](=O)c1cnc(nc1)c1cc2c3cc(c4ncc(cn4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1ncc(cn1)[N+](=O)[O-])cc(c5ccc4)c1ncc(cn1)[N+](=O)[O-],,,,,,,,,,,,
GRPOZYMVAJOGAE-UHFFFAOYSA-N,FC(C#Cc1cc2c3cc(C#CC(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)C#CC(F)(F)F)cc(c5ccc4)C#CC(F)(F)F)(F)F,-5.988954,-3.276523,1.81,-4.11,-5.99,,0.00032,0.00032,,1.88,,7.19
GRRNMHDOLHOUEF-VXPUYCOJSA-N,CC1=CC=C(S1(=O)=O)c1ccc(s1)/N=N\c1ccc(s1)C1=CC=C(S1(=O)=O)C,-6.384879,-3.327408,,0.34,,0.61,13.35299,,12.32086,,-0.27,6.73
GRWWYJNTYARHHH-UHFFFAOYSA-N,FC(c1cnc(s1)c1cc2c3cc(c4ncc(s4)C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1ncc(s1)C(F)(F)F)cc(c5ccc4)c1ncc(s1)C(F)(F)F)(F)F,,,,,,,,,,,,
GSDGRRWFJMTHGJ-QURGRASLSA-N,Oc1ccc(s1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(s1)O,-5.724187,-2.647668,,0.9,,-0.15,3.66276,,6.87816,,1.05,6.44
GSYCBINEZRLFOL-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1[nH]cc(c1)O)c1[nH]cc(c1)O,-5.885823,-3.061281,1.76,1.03,-0.85,-0.63,4.59689,4.59689,10.16141,1.88,1.66,6.85
GSYMHWKULSIHAR-UHFFFAOYSA-N,Cl/N=C\[C@]1(Cl)N=N1,-8.104095,-2.761683,2.97,3.16,0.05,0.39,2.68339,2.68339,4.8847,3.11,2.77,9.73
GTDRZOSVSKXEGR-UHFFFAOYSA-N,FC1=CC=C(S1(=O)=O)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C1=CC=C(S1(=O)=O)F,-5.622144,-2.955156,,,,,2.963,,,,,
GTOKMJVJONOWOK-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(s1)C)c1ncc(s1)C,-6.675225,-3.237066,2.24,1.99,-0.36,-0.14,3.18054,3.18054,7.01167,2.35,2.13,7.54
GTXFVWXIZLJDNS-UHFFFAOYSA-N,[O-][N+](=O)c1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)[N+](=O)[O-],-5.649356,-2.899101,,,,,14.6259,,16.3819,,0.25,
GUFMZVRILBFKIX-QURGRASLSA-N,Sc1ccc(o1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(o1)S,-6.005825,-2.783725,,0.92,,-0.12,2.3273,,0.8093,,1.04,6.54
GUJPGAWZNHBKGA-VCFJNTAESA-N,[O-][N+](=O)/C=C\c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=C/[N+](=O)[O-],-5.754119,-3.390811,1.5,0.9,-0.67,-0.1,8.87739,8.87739,11.1968,1.57,1,0.08
GUPDNHRKPLXXFK-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(nc1)[C@@]1(N=N1)[N+](=O)[O-],-8.436074,-3.354075,3.07,3.44,0.14,,1.73175,1.73175,,3.3,,10.05
GVFYPBOGKUTCEJ-NURZGURASA-N,Cl/C=C/O/C=C\c1ccc(s1)/N=N\c1ccc(s1)/C=C\O/C=C/Cl,-6.093445,-2.810664,,0.65,,0.6,6.90448,,6.27195,,0.05,6.41
GVVDRAQKLSEOPK-FMQUCBEESA-N,O=Cn1c(ccc1[N+](=O)[O-])c1ccc(o1)/N=N/c1ccc(o1)c1ccc(n1C=O)[N+](=O)[O-],-6.190318,-3.725239,1.29,1.21,-0.25,0.58,13.89833,13.89833,15.14782,1.46,0.63,7.18
GVVXXTADRCHNIK-FOCLMDBBSA-N,FC#Cc1ccc(o1)/N=N/c1ccc(o1)C#CF,-6.111677,-2.964408,,1.17,,0.26,0.00022,,0.0001,,0.91,7.09
GWBJMQDLEXTALJ-UHFFFAOYSA-N,Sc1ccc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc([nH]1)S,-5.307581,-2.437868,,,,,4.22233,,,,,
GWESHPBEXINFMB-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)C1=CC=C(C1)F)C1=CC=C(C1)F,-6.093718,-3.05856,1.92,,,,0.55772,0.55772,4.80219,2.03,1.78,7.15
GWIXNQMPRMEINC-UHFFFAOYSA-N,FC(Oc1csc(n1)c1cc2c3cc(c4scc(n4)OC(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1scc(n1)OC(F)(F)F)cc(c5ccc4)c1scc(n1)OC(F)(F)F)(F)F,,,,,,,,,,,,
GWRHHXVEARIYKY-UHFFFAOYSA-N,N#CC#Cc1cc2c3cc(C#CC#N)c4c5c3c(c3c2c2c1cccc2c(c3)C#CC#N)cc(c5ccc4)C#CC#N,-6.088547,-3.540745,1.68,1.25,-0.5,0.23,0.00063,0.00063,0.00058,1.75,1.02,7.41
GYHKEGPWNREFLE-SZWZUZNMSA-N,C=CO/C=C\c1ccc(o1)/N=N/c1ccc(o1)/C=C\OC=C,-5.511666,-2.800324,,0.56,,-0.12,1.8878,,2.26986,,0.68,6.15
GYKAGIQHHIDDOW-UHFFFAOYSA-N,FC(Oc1cc([nH]c1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1[nH]cc(c1)OC(F)(F)F)(F)F,-6.364199,-3.127677,2.06,-4.17,-6.34,-6.12,4.56453,4.56453,4.23649,2.17,1.95,7.41
GYSCVFSEIABAAS-IAZLARGGSA-N,F/C=C/O/C=C\c1cc2c3cc(/C=C\O/C=C/F)c4c5c3c(c3c2c2c1cccc2c(c3)/C=C\O/C=C\F)cc(c5ccc4)/C=C\O/C=C/F,-5.220776,-2.508073,,,,,5.35021,,5.1954,,0.22,
GZJJJOPTJVVSJD-QURGRASLSA-N,c1csc(n1)c1ccc(cc1)/N=N/c1ccc(cc1)c1nccs1,-6.397941,-2.953524,,1.59,,0.53,0.0014,,5.4127,,1.06,7.19
GZTAJJBXXKZHCG-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc(cc1)F)c1ccc(cc1)F,-6.894821,-3.120602,2.43,2.39,-0.2,0.03,1.2179,1.2179,2.1432,2.59,2.36,7.87
GZZZUAYKSQDXSH-UHFFFAOYSA-N,O=Cn1c(ccc1C(F)(F)F)c1cc2c3cc(c4ccc(n4C=O)C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)C(F)(F)F)cc(c5ccc4)c1ccc(n1C=O)C(F)(F)F,,,,,,,,,,,,
HAFABZVPDVGUEG-UHFFFAOYSA-N,FC(OC1=CC=C(C1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-6.592774,-2.568483,1.98,1.61,-0.63,-0.31,1.35584,1.35584,10.07531,2.24,1.92,8.07
HAKHDYMNYFOMTG-UHFFFAOYSA-N,c1cnc(nc1)c1cc2c3cc(c4ncccn4)c4c5c3c(c3c2c2c1cccc2c(c3)c1ncccn1)cc(c5ccc4)c1ncccn1,-5.536428,-2.699369,,,,,0.00085,,0.02514,,0.24,
HAWOUKVUFDMLAZ-UHFFFAOYSA-N,N#Cc1ccc(o1)[C@]1(C#N)N=N1,-7.396871,-2.989171,2.41,2.52,-0.09,0.14,2.98722,2.98722,8.53201,2.61,2.38,9.18
HBBIETJUGOKZNE-DQRAZIAOSA-N,Cc1ncc([nH]1)c1ccc(s1)/N=N\c1ccc(s1)c1cnc([nH]1)C,-5.606634,-2.89121,,0.51,,0.35,6.68811,,8.21584,,0.16,6.25
HBCUCHMJZOPPDI-QURGRASLSA-N,Fc1ccc(n1C)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(n1C)F,-5.226219,-2.620184,,0.32,,-0.42,2.67969,,4.51056,,0.74,5.97
HDHLXYRJDWQLRB-IJLYXILISA-N,FC(/N=C/c1ccc(cc1)/N=N/c1ccc(cc1)/C=N/C(F)(F)F)(F)F,-7.225439,-3.374756,,2,,0.96,0.4026,,0.6356,,1.04,8.2
HDHWOZOWBGMCKJ-UHFFFAOYSA-N,CC#Cc1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C#CC,,,,,,,,,,,,
HDLPLKLABYBSKG-UHFFFAOYSA-N,C#Cc1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C#C,,,,,,,,,,,,
HEMWNHDBVGXLBD-UHFFFAOYSA-N,Cc1coc(n1)[C@]1(C)N=N1,-6.902712,-2.258817,2.52,1.95,-0.78,-0.48,2.16702,2.16702,8.29798,2.73,2.43,8.31
HEPFSVBAEWXDNQ-UHFFFAOYSA-N,O=Cn1c(ccc1c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(n1C=O)C(F)(F)F)C(F)(F)F,-7.035776,-3.277611,2.39,,,,7.46846,7.46846,4.95324,2.55,2.31,8.05
HERFIKXKFNKIPR-UHFFFAOYSA-N,ClC1=CC=C(S1(=O)=O)c1cc2c3cc(c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(S1(=O)=O)Cl)cc(c5ccc4)C1=CC=C(S1(=O)=O)Cl)C1=CC=C(S1(=O)=O)Cl,,,,,,,,,,,,
HEVIVLPZMOZKGV-ISLYRVAYSA-N,N#CC#Cc1ccc(o1)/N=N/c1ccc(o1)C#CC#N,-6.603931,-3.625917,,1.67,,0.86,12.70198,,12.32431,,0.81,7.8
HEYBXGUENUHMSY-WCWDXBQESA-N,Clc1ccc(s1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(s1)Cl,-6.116303,-2.801956,,1.19,,0.12,1.0471,,1.5935,,1.07,6.88
HFACAUQOPJEOOP-UHFFFAOYSA-N,FC(C1=CC=C(S1(=O)=O)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C1=CC=C(S1(=O)=O)C(F)(F)F)(F)F,-5.730173,-3.309449,,,,,10.92736,,,,,
HHJMACYXOVCELS-UHFFFAOYSA-N,Clc1ccc([nH]1)[C@]1(Cl)N=N1,-6.46733,-2.557598,1.99,1.52,-0.67,-0.36,1.6065,1.6065,10.78688,2.19,1.88,7.96
HHJNVHMNMZYRSI-UHFFFAOYSA-N,c1ccc2c(c1)c1c3c4c2c2c(c5c4c4c6c3c(c3c1c1ccccc1s3)c1sc3c(c1c6c1c(c4c4c5sc5c4cccc5)cccc1)cccc3)sc1c2cccc1,,,,,,,,,,,,
HHPNCAZFTRXBAF-UHFFFAOYSA-N,c1coc(c1)c1cc2c3cc(c4ccco4)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccco1)cc(c5ccc4)c1ccco1,-5.316016,-2.611477,,,,,2.46792,,,,,
HHXBSBMOXCQBKJ-UHFFFAOYSA-N,Fc1ccc(n1C)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(n1C)F,-5.366357,-2.43678,,,,,3.0863,,,,,
HIIQRJZJKGEARV-YPKPFQOOSA-N,OC#Cc1ccc(s1)/N=N\c1ccc(s1)C#CO,-5.906503,-2.911618,,0.78,,0.57,3.6705,,2.9494,,0.21,6.51
HIRLFXMJOOSGRN-UHFFFAOYSA-N,FC(Oc1cnc(nc1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-8.19362,-2.82427,2.88,3.2,0.02,0.42,3.10734,3.10734,4.73499,3.18,2.78,9.38
HJWFJDWBRCYNKW-YPKPFQOOSA-N,C=Cc1ccc(s1)/N=N\c1ccc(s1)C=C,-5.871673,-3.037063,,0.76,,0.81,4.97915,,0.004,,-0.05,6.63
HKALOLIZFKAIBY-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(s1)S)c1ncc(s1)S,-6.359029,-3.257747,2.04,1.67,-0.47,-0.1,1.85581,1.85581,18.20011,2.14,1.77,7.36
HKWYHBFIHMYDIK-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1[nH]cnc1)c1[nH]cnc1,-6.511957,-3.159514,2.12,1.68,-0.57,-0.34,4.417,4.417,8.2062,2.25,2.02,7.58
HNAWZOLTHHDZLP-WCWDXBQESA-N,n1cc([nH]c1)c1ccc(cc1)/N=N/c1ccc(cc1)c1[nH]cnc1,-6.080928,-2.708893,,1.25,,0.17,2.3105,,3.4147,,1.08,6.93
HNGBANBOPXOZKU-FMQUCBEESA-N,Cc1ccc(s1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(s1)C,-5.434658,-2.83461,,0.48,,-0.18,1.49195,,2.1598,,0.66,6.07
HOENNKYEIMKYCL-UHFFFAOYSA-N,c1nc2c(s1)c1c3c4c2ccc2c4c4c5c3c(c3c1scn3)ccc5c1c(c4c3c2ncs3)scn1,-6.080384,-2.309974,2.63,1.32,-1.39,-1.27,0,0,0,2.71,2.59,6.95
HOFOMOSKBNEFIX-UHFFFAOYSA-N,Cc1ncc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1cnc([nH]1)C,-5.332071,-2.446031,,0.51,,,6.77761,,,,,6.04
HOPCHDDWOUAPGM-UHFFFAOYSA-N,N#Cc1cnc(o1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ncc(o1)C#N,-7.365033,-3.473805,,2.49,,0.04,4.55058,,2.24088,,2.45,8.54
HPBZGQTXBGDSSH-UHFFFAOYSA-N,Cc1ccc(n1C)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(n1C)C,-5.291798,-2.388887,,,,,1.0531,,,,,
HQKAQFXKDDDRRA-UHFFFAOYSA-N,Cc1cnc(s1)[C@]1(C)N=N1,-6.820806,-2.263171,2.48,1.83,-0.82,-0.5,2.5211,2.5211,8.35325,2.65,2.33,8.12
HQWVDNFHYNOBPI-UHFFFAOYSA-N,FC(c1ccc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc([nH]1)C(F)(F)F)(F)F,-5.421868,-2.505896,,,,,6.18906,,,,,
HRJYFAMWZAJLLV-UHFFFAOYSA-N,SC1=CC=C(S1(=O)=O)c1cc2c3cc(c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(S1(=O)=O)S)cc(c5ccc4)C1=CC=C(S1(=O)=O)S)C1=CC=C(S1(=O)=O)S,,,,,,,,,,,,
HRKIDDLONKMUSM-UHFFFAOYSA-N,COC1=CC=C(S1(=O)=O)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C1=CC=C(S1(=O)=O)OC,-5.532347,-2.796786,,,,,8.54787,,,,,0.08
HRXWXWRBQHFEGV-UHFFFAOYSA-N,O=Cn1c(F)ccc1[C@]1(F)N=N1,-7.173465,-2.602225,2.08,2.05,-0.43,-0.16,5.49437,5.49437,11.1718,2.48,2.21,8.57
HRZMDDNONNZLPA-UHFFFAOYSA-N,FC(C#C[C@@]1(N=N1)C(F)(F)F)(F)F,-8.671724,-3.048764,3.28,3.81,0.41,0.81,1.44829,1.44829,2.07283,3.4,3,10.53
HSKLKSYUIHWEBT-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc(n1C)C)c1ccc(n1C)C,-5.865686,-3.021824,1.74,1.12,-0.73,-0.54,5.9522,5.9522,11.7799,1.85,1.66,6.7
HSMLZGGPFLRQJN-QURGRASLSA-N,n1cnnc(n1)c1ccc(cc1)/N=N/c1ccc(cc1)c1nncnn1,-7.085028,-3.271081,,1.9,,0.53,0.0008,,0.27172,,1.37,8
HSOSYTISUWKJRX-UHFFFAOYSA-N,FC(c1csc(n1)c1cc2c3cc(c4scc(n4)C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1scc(n1)C(F)(F)F)cc(c5ccc4)c1scc(n1)C(F)(F)F)(F)F,,,,,,,,,,,,
HSTFDYCYZVELDR-UHFFFAOYSA-N,FC(c1c[nH]c(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1[nH]cc(c1)C(F)(F)F)(F)F,-5.424045,-2.484672,,,,,4.2874,,,,,
HTGSWOHHMYRGCU-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1scc(n1)F)c1scc(n1)F,-6.917406,-3.349994,2.35,2.27,-0.2,0.03,5.4805,5.4805,9.7148,2.47,2.24,8
HTUIZLGTZNAKJD-UHFFFAOYSA-N,O=S1(=O)C=CC=C1[C@@H]1N=N1,-7.374285,-2.715152,2.73,2.4,-0.52,0.74,5.73025,5.73025,6.15474,2.92,1.66,8.96
HTUJKSIHUWTZGE-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(cn1)[N+](=O)[O-])c1ncc(cn1)[N+](=O)[O-],-7.783817,-3.657754,2.7,2.9,0.11,0.45,4.1091,4.1091,8.8172,2.79,2.45,8.93
HUBLKXPDAPASNR-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(n1C)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(n1C)[N+](=O)[O-],-5.629491,-2.800596,,,,,15.94384,,,,,
HUDQBKPPSSJKJI-DQRAZIAOSA-N,FC(C#Cc1ccc(s1)/N=N\c1ccc(s1)C#CC(F)(F)F)(F)F,-6.501888,-3.316524,,1.45,,1.21,1.1767,,1.3538,,0.24,7.58
HUKZUSPYXLEAJY-BUHFOSPRSA-N,[O-][N+](=O)c1nnc(nn1)c1ccc(o1)/N=N/c1ccc(o1)c1nnc(nn1)[N+](=O)[O-],-6.945978,-4.24933,,2.02,,,14.88838,,,,,8.19
HUNSVDUCLDESDX-ISLYRVAYSA-N,OC#Cc1ccc(cc1)/N=N/c1ccc(cc1)C#CO,-6.188413,-2.651205,,1.35,,0.26,3.86719,,6.11052,,1.09,6.99
HUYVLLDGZAKITM-VXPUYCOJSA-N,FC1=CC=C(S1(=O)=O)c1ccc(s1)/N=N\c1ccc(s1)C1=CC=C(S1(=O)=O)F,-6.369097,-3.480608,,1.14,,1.24,7.32437,,10.1975,,-0.1,7.12
HVKQENYELQFGSI-QNEJGDQOSA-N,FC(c1ncc([nH]1)c1ccc(cc1)/N=N/c1ccc(cc1)c1cnc([nH]1)C(F)(F)F)(F)F,-6.389777,-2.848488,,,,,0.00022,,1.66407,,1.09,
HVRDRCPPNNOZDJ-FMQUCBEESA-N,Clc1nnc(nn1)c1ccc(cc1)/N=N/c1ccc(cc1)c1nnc(nn1)Cl,-7.099178,-3.41775,,2.23,,0.83,0.00061,,0.31231,,1.4,8.08
HVUMGWLCAHGISO-DQSJHHFOSA-N,FC(C1=CC=C(C1)c1ccc(s1)/N=N\c1ccc(s1)C1=CC=C(C1)C(F)(F)F)(F)F,-5.756841,-3.129854,,0.7,,0.69,4.6227,,3.6469,,0.01,6.62
