inchi_key,smiles,homo (eV),lumo (eV),vertical_excitation_energy (eV),redox_potential_S0 (eV),redox_potential_S1 (eV),redox_potential_T1 (eV),dipole_moment_S0 (D),dipole_moment_S1 (D),dipole_moment_T1 (D),0-0_S1 (eV),0-0_T1 (eV),ionization_potential (eV)
XBJCAJFOFLJEQX-UHFFFAOYSA-N,CC1=CC=C(S1(=O)=O)c1cc2c3cc(c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(S1(=O)=O)C)cc(c5ccc4)C1=CC=C(S1(=O)=O)C)C1=CC=C(S1(=O)=O)C,,,,,,,,,,,,
XBRMAQHRKMIYQQ-UHFFFAOYSA-N,Clc1ncc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1cnc([nH]1)Cl,-5.415882,-2.512699,,,,,9.4073,,,,,
XDGAJCODVAFQOH-UHFFFAOYSA-N,FC(OC1(N=N1)OC(F)(F)F)(F)F,-9.132685,-3.160874,2.72,2.42,-0.62,-0.19,0.42966,0.42966,2.07482,3.04,2.61,9.23
XDNIHYGZNNWMOJ-UHFFFAOYSA-N,Fc1cnc(o1)c1cc2c3cc(c4ncc(o4)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1ncc(o1)F)cc(c5ccc4)c1ncc(o1)F,-5.643369,-2.993252,,,,,1.06128,,,,,-0.01
XDSADWVWSKDHSO-UHFFFAOYSA-N,Cn1c(ccc1C(F)(F)F)c1cc2c3cc(c4ccc(n4C)C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C)C(F)(F)F)cc(c5ccc4)c1ccc(n1C)C(F)(F)F,,,,,,,,,,,,
XDUCVSNPGURTOT-UHFFFAOYSA-N,c1ccc2c(c1)c1c3c4c2c2c(c5c4c4c6c3c(c3c1c1ccccc1o3)c1oc3c(c1c6c1c(c4c4c5oc5c4cccc5)cccc1)cccc3)oc1c2cccc1,,,,,,,,,,,,
XEMSEOUSOFZWHP-UHFFFAOYSA-N,[O-][N+](=O)c1ccc([nH]1)[C@@]1(N=N1)[N+](=O)[O-],-7.518506,-3.352443,2.39,2.56,-0.01,0.36,5.57186,5.57186,8.34385,2.57,2.2,9.23
XFBWTMXPYPDQRW-VXPUYCOJSA-N,SC1=CC=C(C1)c1ccc(s1)/N=N\c1ccc(s1)C1=CC=C(C1)S,-5.173429,-2.866719,,0.21,,0.3,8.8914,,0.00141,,-0.09,5.8
XGAJYNNFXMJFEO-UHFFFAOYSA-N,FC(c1ccc(s1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(s1)C(F)(F)F)(F)F,-5.503503,-2.595694,,,,,4.7019,,,,,
XGHYXKATQLCUTO-UHFFFAOYSA-N,c1cnc2c(c1)c1c3c4c2ccc2c4c4c5c3c(c3c1cccn3)ccc5c1c(c4c3c2nccc3)cccn1,-5.968817,-2.398139,,,,,0.0001,,,,,
XHBGMOUYDPMOMP-VXPUYCOJSA-N,Fc1cnc(s1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(s1)F,-6.028954,-3.209311,,0.97,,0.8,5.28816,,4.76422,,0.17,6.8
XHJDAOXUHIPYRI-UHFFFAOYSA-N,FC(OC1=CC=C(S1(=O)=O)c1cc2c3cc(c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(S1(=O)=O)OC(F)(F)F)cc(c5ccc4)C1=CC=C(S1(=O)=O)OC(F)(F)F)C1=CC=C(S1(=O)=O)OC(F)(F)F)(F)F,,,,,,,,,,,,
XHJPOZDMDBETDO-UHFFFAOYSA-N,c1ccc2c(c1)c1c3c4c2c2ccccc2c2c4c4c5c3c(c3c1cccc3)c1c(c5c3c(c4c4c2cccc4)cccc3)cccc1,,,,,,,,,,,,
XHLKTQGUSYKRNH-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(n1C)c1cc2c3cc(c4ccc(n4C)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C)[N+](=O)[O-])cc(c5ccc4)c1ccc(n1C)[N+](=O)[O-],,,,,,,,,,,,
XHSAZBNXKNIAKB-UHFFFAOYSA-N,[O-][N+](=O)c1ncc([nH]1)[C@@]1(N=N1)[N+](=O)[O-],-7.888036,-3.489044,,2.92,,0.57,4.86506,,9.62565,,2.35,9.69
XICAZMHZWNAGJT-UHFFFAOYSA-N,Oc1ccc(s1)c1cc2c3cc(c4ccc(s4)O)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(s1)O)cc(c5ccc4)c1ccc(s1)O,-5.184585,-2.493923,,,,,5.96537,,,,,
XIXVYJSBTZVSOC-UHFFFAOYSA-N,O=S1(=O)C=CC=C1c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C1=CC=CS1(=O)=O,-5.610171,-2.995973,,,,,5.5543,,4.1402,,1.02,
XJFLSTJYJASTTK-UHFFFAOYSA-N,O=Cn1c(O)ccc1c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(n1C=O)O,-6.092357,-3.153255,1.79,1.2,-0.75,-0.36,2.32822,2.32822,19.85186,1.95,1.56,7.11
