smiles,imageName,inchiKey
Fc1nnc(nn1)c1cc2c3cc(c4nnc(nn4)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)F)cc(c5ccc4)c1nnc(nn1)F,42.png,AQEFRWAKOPHWLU-UHFFFAOYSA-N
O/N=C/c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=N/O,43.png,AQOQZWYINUJKPQ-HZUVFDMRSA-N
c1csc(c1)/N=N\c1cccs1,44.png,AQYFGWINIJJWBQ-KTKRTIGZSA-N
Clc1ccc(cc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cc1)Cl,45.png,ARAMHWZMISYVIN-UHFFFAOYSA-N
[O-][N+](=O)c1nnc(nn1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nnc(nn1)[N+](=O)[O-],46.png,AREGVFVNLAREKG-UHFFFAOYSA-N
N#Cc1ccc(s1)[C@]1(C#N)N=N1,47.png,ARGXWJAMWQYJGG-UHFFFAOYSA-N
FC(C1=CC=C(C1)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(C1)C(F)(F)F)(F)F,48.png,AROPSCIYRDYONR-BYYHNAKLSA-N
[O-][N+](=O)c1ccc(nc1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(cn1)[N+](=O)[O-],49.png,ARQIAMJICFNIHJ-QURGRASLSA-N
O=Cn1c(ccc1c1ccc(o1)/N=N/c1ccc(o1)c1ccc(n1C=O)C#N)C#N,50.png,ASOFOXKPUPKKSS-WCWDXBQESA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc([nH]1)S)c1ccc([nH]1)S,51.png,ASXQSPLVGNGJLQ-UHFFFAOYSA-N
Cc1ccc([nH]1)c1cc2c3cc(c4ccc([nH]4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc([nH]1)C)cc(c5ccc4)c1ccc([nH]1)C,52.png,ATAVCYXBEHHGRC-UHFFFAOYSA-N
