smiles,imageName,inchiKey
N#Cc1c(cc(cc1c1[nH]cc(c1)C#N)C#N)c1[nH]cc(c1)C#N,52.png,AKDXABHEOJIAMU-UHFFFAOYSA-N
Cc1ncc([nH]1)c1ccc2-c3[n+]4c(-c2c1)cc1c2ccc(cc2c2n1[B@@-]4(Cl)n1c(c3)c3cc(ccc3c1c2)c1cnc([nH]1)C)c1cnc([nH]1)C,53.png,AKGHZKPYFCNCFX-UHFFFAOYSA-N
Clc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)Cl)cc(c5ccc4)c1cnc([nH]1)Cl,54.png,AKLALPFICIUKQQ-UHFFFAOYSA-N
S/N=C\c1ccc(cc1)/N=N\c1ccc(cc1)/C=N/S,55.png,AKWQYOVDKSJCTF-DPKLHXOTSA-N
S/N=C/c1ccc(cc1)/N=N/c1ccc(cc1)/C=N/S,56.png,AKWQYOVDKSJCTF-SXZOPZGESA-N
FC(c1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)C(F)(F)F)(F)F,57.png,AKZNAIBPMTTYEK-UHFFFAOYSA-N
N#C/C=C\c1ccc([nH]1)/N=N\c1ccc([nH]1)/C=C/C#N,58.png,ALJCEEPJJHTTDR-ZXXQZIGBSA-N
N#Cc1c(cc(cc1c1ncc(o1)Cl)C#N)c1ncc(o1)Cl,59.png,ALLBCJWJXOQIAT-UHFFFAOYSA-N
N#Cc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)C#N,60.png,ALOYCUJRSMCALL-DQSJHHFOSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1occ(n1)S)c1occ(n1)S,61.png,ALQCBSRCXHTTHM-UHFFFAOYSA-N
Oc1csc(n1)[C@]1(O)N=N1,62.png,AMAZYTRMFZCCHA-UHFFFAOYSA-N
Clc1cnc(nc1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ncc(cn1)Cl,63.png,AMDDGRBWNRIHLU-DQSJHHFOSA-N
N#Cc1c(cc(cc1c1ccc(cc1)O)C#N)c1ccc(cc1)O,64.png,ANEZBUYLPICMKQ-UHFFFAOYSA-N
N#Cc1c(cc(cc1c1ccc(cc1)C(F)(F)F)C#N)c1ccc(cc1)C(F)(F)F,65.png,ANZMAKQNEXXESU-UHFFFAOYSA-N
c1c[nH]c(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1[nH]ccc1,66.png,AONCYTBQCGKYAJ-UHFFFAOYSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1[nH]cc(c1)S)c1[nH]cc(c1)S,67.png,AOYNWEXBKOHTIY-UHFFFAOYSA-N
S/C=C/O/C=C\c1cc2c3cc(/C=C\O/C=C\S)c4c5c3c(c3c2c2c1cccc2c(c3)/C=C\O/C=C/S)cc(c5ccc4)/C=C\O/C=C\S,68.png,APOLHSNYGCCJHV-SQKWQXNLSA-N
Sc1coc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1occ(n1)S,69.png,APYUXZNVMFPUSK-UHFFFAOYSA-N
Fc1nnc(nn1)c1cc2c3cc(c4nnc(nn4)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)F)cc(c5ccc4)c1nnc(nn1)F,70.png,AQEFRWAKOPHWLU-UHFFFAOYSA-N
O/N=C/c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=N/O,71.png,AQOQZWYINUJKPQ-HZUVFDMRSA-N
c1csc(c1)/N=N\c1cccs1,72.png,AQYFGWINIJJWBQ-KTKRTIGZSA-N
c1csc(c1)/N=N/c1cccs1,73.png,AQYFGWINIJJWBQ-MDZDMXLPSA-N
Clc1ccc(cc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cc1)Cl,74.png,ARAMHWZMISYVIN-UHFFFAOYSA-N
N#Cc1ccc(s1)[C@]1(C#N)N=N1,75.png,ARGXWJAMWQYJGG-UHFFFAOYSA-N
FC(C1=CC=C(C1)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(C1)C(F)(F)F)(F)F,76.png,AROPSCIYRDYONR-BYYHNAKLSA-N
[O-][N+](=O)c1ccc(nc1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(cn1)[N+](=O)[O-],77.png,ARQIAMJICFNIHJ-QURGRASLSA-N
N#Cc1c(cc(cc1c1scc(n1)C)C#N)c1scc(n1)C,78.png,ASLWQARYCMGXGV-UHFFFAOYSA-N
O=Cn1c(ccc1c1ccc(o1)/N=N/c1ccc(o1)c1ccc(n1C=O)C#N)C#N,79.png,ASOFOXKPUPKKSS-WCWDXBQESA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc([nH]1)S)c1ccc([nH]1)S,80.png,ASXQSPLVGNGJLQ-UHFFFAOYSA-N
Cc1ccc([nH]1)c1cc2c3cc(c4ccc([nH]4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc([nH]1)C)cc(c5ccc4)c1ccc([nH]1)C,81.png,ATAVCYXBEHHGRC-UHFFFAOYSA-N
O/N=C/c1ccc2c(c1)c1cc3c4ccc(cc4c4n3[B@@-]3(n1c2cc1-c2cc(/C=N\O)ccc2-c([n+]31)c4)Cl)/C=N\O,82.png,ATHGLAZLDUTELK-REGPOSIJSA-N
N#Cc1c(cc(cc1c1nnc(nn1)[N+](=O)[O-])C#N)c1nnc(nn1)[N+](=O)[O-],83.png,ATTBOIYEJRPCAH-UHFFFAOYSA-N
Fc1ccc([nH]1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc([nH]1)F,84.png,ATYJRVIPJARYAE-QURGRASLSA-N
ClC1=CC=C(C1)[C@]1(Cl)N=N1,85.png,AUHXASBOJKVKEA-UHFFFAOYSA-N
ClC1=CC=C(C1)c1ccc(s1)/N=N\c1ccc(s1)C1=CC=C(C1)Cl,86.png,AUMICKUKXCMVCU-DQRAZIAOSA-N
ClC1=CC=C(C1)c1ccc(s1)/N=N/c1ccc(s1)C1=CC=C(C1)Cl,87.png,AUMICKUKXCMVCU-QURGRASLSA-N
N#Cc1c(cc(cc1c1ncc(s1)OC(F)(F)F)C#N)c1ncc(s1)OC(F)(F)F,88.png,AUWBMNGVHBNSHJ-UHFFFAOYSA-N
FC(Oc1ccc([nH]1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc([nH]1)OC(F)(F)F)(F)F,89.png,AVDSDWZAIPGUGX-UHFFFAOYSA-N
[O-][N+](=O)C#Cc1cc2c3cc(C#C[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C#C[N+](=O)[O-])cc(c5ccc4)C#C[N+](=O)[O-],90.png,AVHMRWXPUVPPPT-UHFFFAOYSA-N
Sc1ccc(s1)c1cc2ccc3c4c2c2c1ccc1c2c4c(cc1c1ccc(s1)S)cc3,91.png,AVLJFDNELATYBM-UHFFFAOYSA-N
N#C/N=C/c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=N/C#N,92.png,AVRPZRBBZUJNAE-KVJLFNRQSA-N
C=Cc1ccc(cc1)/N=N/c1ccc(cc1)C=C,93.png,AWKDEEXFAVIGAF-ISLYRVAYSA-N
C=Cc1ccc(cc1)/N=N\c1ccc(cc1)C=C,94.png,AWKDEEXFAVIGAF-ZCXUNETKSA-N
FC(c1cnc(nc1)[C@@]1(N=N1)C(F)(F)F)(F)F,95.png,AWZZBLPXDOHIMP-UHFFFAOYSA-N
OC1(O)N=N1,96.png,AXKLERBIHDLHAI-UHFFFAOYSA-N
FC(c1ccc(o1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(o1)C(F)(F)F)(F)F,97.png,AXQSIRAKZPLURQ-UHFFFAOYSA-N
N#Cc1ccc(n1C)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(n1C)C#N,98.png,AXWUCDKPOILRRQ-UHFFFAOYSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(s1)[N+](=O)[O-])c1ncc(s1)[N+](=O)[O-],99.png,AXZRRXTWVUZUPK-UHFFFAOYSA-N
c1ccc([nH]1)c1ccc([nH]1)/N=N\c1ccc([nH]1)c1ccc[nH]1,100.png,AYCGNWNXOHZMGY-DQRAZIAOSA-N
Sc1ncc([nH]1)c1ccc(s1)/N=N/c1ccc(s1)c1cnc([nH]1)S,101.png,AYECXPYIIQPIDX-FMQUCBEESA-N
Sc1ncc([nH]1)c1ccc(s1)/N=N\c1ccc(s1)c1cnc([nH]1)S,102.png,AYECXPYIIQPIDX-VXPUYCOJSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccco1)c1ccco1,103.png,AZBSMPUUXDDOLI-UHFFFAOYSA-N
Fc1csc(n1)[C@]1(F)N=N1,104.png,AZBXYFYSDQYJMH-UHFFFAOYSA-N
N#Cc1c(cc(cc1c1[nH]cc(c1)OC)C#N)c1[nH]cc(c1)OC,105.png,AZFCEKURMUNYMW-UHFFFAOYSA-N
N#C/N=C\c1ccc(cc1)/N=N\c1ccc(cc1)/C=N\C#N,106.png,AZQLWKPFVGCQSP-IESJRNOISA-N
N#C/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N/C#N,107.png,AZQLWKPFVGCQSP-XPZLCZKUSA-N
FC(Oc1coc(n1)c1ccc(s1)/N=N/c1ccc(s1)c1occ(n1)OC(F)(F)F)(F)F,108.png,AZTKBMGRKFMQOS-OCEACIFDSA-N
FC(Oc1coc(n1)c1ccc(s1)/N=N\c1ccc(s1)c1occ(n1)OC(F)(F)F)(F)F,109.png,AZTKBMGRKFMQOS-QPLCGJKRSA-N
N#Cc1c(cc(cc1c1cnc([nH]1)C)C#N)c1cnc([nH]1)C,110.png,BBCYNIFNXFFIJX-UHFFFAOYSA-N
Clc1cnc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(cn1)Cl,111.png,BBXCFOJWLJKRRG-VHXPQNKSSA-N
Clc1cnc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ncc(cn1)Cl,112.png,BBXCFOJWLJKRRG-WCWDXBQESA-N
Sc1ccc(nc1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(cn1)S,113.png,BCAIIJAFDBXREC-QPLCGJKRSA-N
